iter	Passed	Remaining
0	21526	7512823
1	44470	7737865
2	63150	7304453
3	84328	7294386
4	106222	7329325
5	121588	6971095
6	140196	6869619
7	155647	6653936
8	173753	6583309
9	192679	6551110
10	208834	6435892
11	228325	6431159
12	244374	6334933
13	262617	6302813
14	281127	6278520
15	296914	6198084
16	316205	6193903
17	338131	6236641
18	358214	6240477
19	374898	6185817
20	394798	6185178
21	414107	6173966
22	433770	6167088
23	449178	6101340
24	468312	6088067
25	487913	6080153
26	506702	6061666
27	526332	6052823
28	547051	6055298
29	565679	6033910
30	583424	6003626
31	604640	6008610
32	625225	6005955
33	644317	5988359
34	664350	5979154
35	681771	5946561
36	704211	5957252
37	724796	5950956
38	740788	5907316
39	760943	5897308
40	780762	5884281
41	795647	5834748
42	815552	5822666
43	834139	5801060
44	853185	5782700
45	873140	5770321
46	894411	5766096
47	910873	5730909
48	931100	5719615
49	951483	5708903
50	971508	5695706
51	991968	5684743
52	1010461	5662398
53	1029547	5643445
54	1050490	5634450
55	1070969	5622590
56	1091650	5611467
57	1111523	5595944
58	1127770	5562395
59	1149143	5554195
60	1169602	5541232
61	1190622	5530634
62	1211624	5519623
63	1231062	5501312
64	1250435	5482679
65	1270974	5469042
66	1289831	5448092
67	1310200	5433476
68	1330579	5418737
69	1351231	5404925
70	1371187	5388186
71	1389021	5363166
72	1413145	5362210
73	1438267	5364349
74	1460699	5355898
75	1480988	5339353
76	1504314	5333479
77	1524288	5315466
78	1546814	5306159
79	1565299	5282886
80	1585904	5266768
81	1605982	5248819
82	1630040	5243623
83	1650416	5226319
84	1672434	5214059
85	1691270	5191806
86	1711969	5175265
87	1731124	5154030
88	1752063	5138073
89	1772348	5120117
90	1790857	5097057
91	1806749	5066753
92	1824850	5042865
93	1846513	5028801
94	1868677	5015924
95	1891012	5003303
96	1914659	4993905
97	1937325	4981693
98	1958505	4965503
99	1980029	4950074
100	2001211	4933679
101	2024424	4922130
102	2045528	4905297
103	2065856	4886544
104	2086406	4868282
105	2106511	4848951
106	2127583	4831801
107	2147503	4811998
108	2167397	4792135
109	2186806	4771213
110	2207761	4753648
111	2228698	4735983
112	2248544	4715974
113	2268331	4695845
114	2288904	4677327
115	2309233	4658281
116	2329059	4638211
117	2348704	4617792
118	2367992	4596692
119	2386826	4574751
120	2406457	4554370
121	2426961	4535633
122	2448763	4519263
123	2469129	4500187
124	2489486	4481075
125	2511579	4465030
126	2532132	4446185
127	2560198	4440344
128	2584925	4428438
129	2607043	4411920
130	2632641	4401134
131	2651913	4379674
132	2674344	4363403
133	2694681	4343665
134	2715097	4324044
135	2736506	4305973
136	2756321	4285376
137	2776648	4265575
138	2796136	4244495
139	2816509	4224764
140	2839465	4208852
141	2869752	4203581
142	2892155	4186546
143	2912416	4166374
144	2932188	4145507
145	2952902	4125973
146	2973142	4105768
147	2994233	4086724
148	3014585	4066655
149	3035846	4047795
150	3055477	4026755
151	3076704	4007812
152	3098186	3989167
153	3119065	3969720
154	3138725	3948719
155	3156996	3926008
156	3177697	3906341
157	3196068	3883829
158	3221099	3869370
159	3243629	3851810
160	3264828	3832624
161	3287412	3815021
162	3307143	3794085
163	3327383	3773740
164	3350606	3756740
165	3371988	3737625
166	3393572	3718704
167	3414448	3698985
168	3436995	3681042
169	3461362	3664972
170	3481825	3644718
171	3501544	3623691
172	3521114	3602527
173	3547039	3587810
174	3569359	3569359
175	3591070	3550262
176	3610659	3529062
177	3637704	3515085
178	3656856	3493421
179	3680969	3476471
180	3700632	3455286
181	3719833	3433692
182	3740081	3413080
183	3759858	3392046
184	3779403	3370819
185	3798092	3348855
186	3816130	3326360
187	3837027	3306374
188	3855943	3284693
189	3876663	3264558
190	3897595	3244594
191	3919091	3225085
192	3945754	3209759
193	3966183	3189302
194	3986711	3168924
195	4006377	3147867
196	4025228	3126192
197	4058577	3115675
198	4081652	3097133
199	4110746	3083059
200	4132094	3063094
201	4152152	3042171
202	4171521	3020756
203	4205611	3009898
204	4237090	2996966
205	4258818	2977038
206	4279069	2956072
207	4301867	2936851
208	4322005	2915803
209	4354458	2902972
210	4406665	2902969
211	4458343	2902128
212	4493901	2890443
213	4523868	2874981
214	4549785	2856842
215	4570945	2835679
216	4591442	2814110
217	4614317	2793990
218	4642909	2777265
219	4662422	2755067
220	4684462	2734369
221	4716296	2719306
222	4768750	2715835
223	4791403	2695164
224	4839613	2688674
225	4863276	2668346
226	4883616	2646188
227	4904031	2624087
228	4924267	2601905
229	4966360	2591144
230	5003103	2577356
231	5024382	2555505
232	5048856	2535262
233	5070937	2513798
234	5116383	2503762
235	5142817	2484242
236	5161654	2461041
237	5181306	2438262
238	5201216	2415627
239	5226993	2395705
240	5258650	2378393
241	5320961	2374643
242	5347208	2354531
243	5367239	2331669
244	5390079	2310034
245	5410236	2287254
246	5439492	2268290
247	5475360	2251962
248	5496405	2229465
249	5517572	2207029
250	5542570	2186113
251	5581442	2170561
252	5605472	2149133
253	5627844	2127059
254	5650297	2105012
255	5671678	2082569
256	5709753	2066175
257	5751421	2050894
258	5794923	2036054
259	5832583	2018971
260	5852499	1995679
261	5876411	1973756
262	5910815	1955288
